project,entity,investment_phase1_usd,investment_total_usd,location,power_initial_mw,power_target_mw,construction_start,completion_phase1,permanent_jobs,power_provider,verification_status,source
AVAIO Digital Leo,AVAIO Digital Partners,6000000000,21000000000,"760-acre site, Pulaski County, south of Little Rock",150,1000,Q1 2026,June 2027,500+,Entergy Arkansas,Verified,"AVAIO/PRNewswire, Arkansas EDC"
Jefferson Power Station,Entergy Arkansas,1500000000,1500000000,"Jefferson County (adjacent to White Bluff site near Redfield)",754,754,Q2 2026,2029,22,Entergy Arkansas,Verified,"APSC Docket 25-047-U, Arkansas Democrat-Gazette"
L3Harris AAPF Expansion,L3Harris Technologies,500000000,500000000,"East Camden, Ouachita County",N/A,N/A,Nov 2025,TBD,1500 (existing),N/A,Verified,"Arkansas Advocate, L3Harris press release"
R2S Manufacturing,Raytheon-Rafael (R2S),63000000,63000000,"East Camden, Highland Industrial Park",N/A,N/A,2025,Nov 2025,TBD,N/A,Verified,"Rafael, RTX, AR Governor press release"
Pine Bluff Arsenal Modernization,Hanwha Defense USA,1300000000,1300000000,"Pine Bluff Arsenal, Jefferson County",N/A,N/A,2026,TBD,200,N/A,Verified,"U.S. Army, Talk Business & Politics"
